#TimeZone=India Standard Time,format=V2,isweekly=false
#FidessaCode,ReutersCode,Venue,TimeZone,Time,CumulatedPercentage
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,0:00:00,0
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,9:00:00,0
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,9:15:00,0.0215
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,9:20:00,0.041
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,9:25:00,0.0606
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,9:30:00,0.0774
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,9:35:00,0.0936
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,9:40:00,0.1092
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,9:45:00,0.1248
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,9:50:00,0.1384
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,9:55:00,0.1508
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,10:00:00,0.1636
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,10:05:00,0.1755
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,10:10:00,0.1861
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,10:15:00,0.1976
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,10:20:00,0.2087
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,10:25:00,0.219
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,10:30:00,0.2291
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,10:35:00,0.2378
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,10:40:00,0.2468
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,10:45:00,0.2559
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,10:50:00,0.2642
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,10:55:00,0.272
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,11:00:00,0.2789
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,11:05:00,0.2861
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,11:10:00,0.2934
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,11:15:00,0.3008
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,11:20:00,0.3081
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,11:25:00,0.3145
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,11:30:00,0.3213
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,11:35:00,0.3271
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,11:40:00,0.3335
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,11:45:00,0.3394
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,11:50:00,0.3446
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,11:55:00,0.3505
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,12:00:00,0.356
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,12:05:00,0.3619
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,12:10:00,0.3676
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,12:15:00,0.3726
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,12:20:00,0.3781
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,12:25:00,0.3842
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,12:30:00,0.3896
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,12:35:00,0.3952
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,12:40:00,0.4015
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,12:45:00,0.4072
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,12:50:00,0.4136
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,12:55:00,0.4198
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,13:00:00,0.4271
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,13:05:00,0.4345
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,13:10:00,0.4417
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,13:15:00,0.4486
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,13:20:00,0.4562
ICICIBC.IN,ICBK.NS,NSI-MAIN,India Standard Time,13:25:00,0.4645
